Source	Target	Weight
12hpf:anterior neural ridge	16hpf:anterior neural ridge	0.635
12hpf:diencephalon	16hpf:anterior neural ridge	0
12hpf:diencephalon (aplnr2+)	16hpf:anterior neural ridge	0
12hpf:differentiating neurons	16hpf:anterior neural ridge	0
12hpf:endoderm	16hpf:anterior neural ridge	0.1625
12hpf:endothelial	16hpf:anterior neural ridge	0
12hpf:epidermal	16hpf:anterior neural ridge	0.125
12hpf:epidermal (foxi3a+)	16hpf:anterior neural ridge	0
12hpf:epidermal (gbx2+)	16hpf:anterior neural ridge	0.0775
12hpf:hatching gland	16hpf:anterior neural ridge	0
12hpf:hindbrain	16hpf:anterior neural ridge	0
12hpf:mesoderm adaxial cells	16hpf:anterior neural ridge	0
12hpf:mesoderm lateral plate	16hpf:anterior neural ridge	0
12hpf:mesoderm lateral plate (fli1a+)	16hpf:anterior neural ridge	0
12hpf:mesoderm lateral plate (tbx1+)	16hpf:anterior neural ridge	0
12hpf:midbrain	16hpf:anterior neural ridge	0
12hpf:neural anterior	16hpf:anterior neural ridge	0
12hpf:neural crest	16hpf:anterior neural ridge	0
12hpf:neural plate anterior	16hpf:anterior neural ridge	0
12hpf:neural plate posterior	16hpf:anterior neural ridge	0
12hpf:notochord	16hpf:anterior neural ridge	0
12hpf:periderm	16hpf:anterior neural ridge	0
12hpf:spinal cord	16hpf:anterior neural ridge	0
12hpf:tailbud mesoderm	16hpf:anterior neural ridge	0
12hpf:telencephalon	16hpf:anterior neural ridge	0
12hpf:anterior neural ridge	16hpf:blood island	0
12hpf:diencephalon	16hpf:blood island	0
12hpf:diencephalon (aplnr2+)	16hpf:blood island	0
12hpf:differentiating neurons	16hpf:blood island	0
12hpf:endoderm	16hpf:blood island	0
12hpf:endothelial	16hpf:blood island	0
12hpf:epidermal	16hpf:blood island	0
12hpf:epidermal (foxi3a+)	16hpf:blood island	0
12hpf:epidermal (gbx2+)	16hpf:blood island	0
12hpf:hatching gland	16hpf:blood island	0
12hpf:hindbrain	16hpf:blood island	0
12hpf:mesoderm adaxial cells	16hpf:blood island	0
12hpf:mesoderm lateral plate	16hpf:blood island	0
12hpf:mesoderm lateral plate (fli1a+)	16hpf:blood island	1
12hpf:mesoderm lateral plate (tbx1+)	16hpf:blood island	0
12hpf:midbrain	16hpf:blood island	0
12hpf:neural anterior	16hpf:blood island	0
12hpf:neural crest	16hpf:blood island	0
12hpf:neural plate anterior	16hpf:blood island	0
12hpf:neural plate posterior	16hpf:blood island	0
12hpf:notochord	16hpf:blood island	0
12hpf:periderm	16hpf:blood island	0
12hpf:spinal cord	16hpf:blood island	0
12hpf:tailbud mesoderm	16hpf:blood island	0
12hpf:telencephalon	16hpf:blood island	0
12hpf:anterior neural ridge	16hpf:diencephalon	0
12hpf:diencephalon	16hpf:diencephalon	0.511627906976744
12hpf:diencephalon (aplnr2+)	16hpf:diencephalon	0
12hpf:differentiating neurons	16hpf:diencephalon	0.000664451827242525
12hpf:endoderm	16hpf:diencephalon	0
12hpf:endothelial	16hpf:diencephalon	0
12hpf:epidermal	16hpf:diencephalon	0.000664451827242525
12hpf:epidermal (foxi3a+)	16hpf:diencephalon	0
12hpf:epidermal (gbx2+)	16hpf:diencephalon	0
12hpf:hatching gland	16hpf:diencephalon	0
12hpf:hindbrain	16hpf:diencephalon	0.0079734219269103
12hpf:mesoderm adaxial cells	16hpf:diencephalon	0
12hpf:mesoderm lateral plate	16hpf:diencephalon	0.0079734219269103
12hpf:mesoderm lateral plate (fli1a+)	16hpf:diencephalon	0
12hpf:mesoderm lateral plate (tbx1+)	16hpf:diencephalon	0
12hpf:midbrain	16hpf:diencephalon	0
12hpf:neural anterior	16hpf:diencephalon	0.0983388704318937
12hpf:neural crest	16hpf:diencephalon	0
12hpf:neural plate anterior	16hpf:diencephalon	0.27375415282392
12hpf:neural plate posterior	16hpf:diencephalon	0.00132890365448505
12hpf:notochord	16hpf:diencephalon	0
12hpf:periderm	16hpf:diencephalon	0
12hpf:spinal cord	16hpf:diencephalon	0.000664451827242525
12hpf:tailbud mesoderm	16hpf:diencephalon	0
12hpf:telencephalon	16hpf:diencephalon	0.0970099667774086
12hpf:anterior neural ridge	16hpf:differentiating neurons	0.00930232558139535
12hpf:diencephalon	16hpf:differentiating neurons	0.0418604651162791
12hpf:diencephalon (aplnr2+)	16hpf:differentiating neurons	0
12hpf:differentiating neurons	16hpf:differentiating neurons	0.824101479915433
12hpf:endoderm	16hpf:differentiating neurons	0
12hpf:endothelial	16hpf:differentiating neurons	0
12hpf:epidermal	16hpf:differentiating neurons	0
12hpf:epidermal (foxi3a+)	16hpf:differentiating neurons	0
12hpf:epidermal (gbx2+)	16hpf:differentiating neurons	0.0194503171247357
12hpf:hatching gland	16hpf:differentiating neurons	0
12hpf:hindbrain	16hpf:differentiating neurons	0.00887949260042283
12hpf:mesoderm adaxial cells	16hpf:differentiating neurons	0
12hpf:mesoderm lateral plate	16hpf:differentiating neurons	0
12hpf:mesoderm lateral plate (fli1a+)	16hpf:differentiating neurons	0
